issue,title,previous_state,disposition,result_state,priority,area,kind,related_remediation,rationale,evidence
460,problème encore avec le pot de peinture j’ai une forme avec des intersection  à ,CLOSED,retain_closed,CLOSED,P1,Renderer,Bug,R16; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/460; https://github.com/mysteropodes/nemo/issues/460#issuecomment-5481491746; https://github.com/mysteropodes/nemo/commit/0068401ad198578468ad890b99712f0ded72f58b
461,le drag de capture ne marche pas dans l’app taure,CLOSED,retain_closed,CLOSED,P1,Platform,Bug,R09; R21,"Already closed with a landed Tauri configuration change and no later contradictory report. Retain closed, while noting the captured comments do not establish a fresh packaged desktop drag-and-drop acceptance.",https://github.com/mysteropodes/nemo/issues/461; https://github.com/mysteropodes/nemo/issues/461#issuecomment-5481498053; https://github.com/mysteropodes/nemo/commit/e155d8a4de25ff96c8542972eef83ff8239361b7
462,avec l’outil de selection si je select une partie du trait et que je change la c,CLOSED,retain_closed,CLOSED,P2,UI,Bug,R13; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/462; https://github.com/mysteropodes/nemo/issues/462#issuecomment-5481498567; https://github.com/mysteropodes/nemo/commit/0bb8a6c174edc19070ddc86682d6a8b1e72b7dd3
463,quand je sélectionne des partie fill où il y a une ouverture sans stroke et des ,CLOSED,retain_closed,CLOSED,P2,UI,Bug,R13; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/463; https://github.com/mysteropodes/nemo/issues/463#issuecomment-5481499086; https://github.com/mysteropodes/nemo/commit/6c11fa0d700e1102aeb1fb602fcce8bcb30cf631
464,l’outil eraser parfois supprime complètement des fill d’un coup parfois éfface b,CLOSED,retain_closed,CLOSED,P1,Renderer,Bug,R16; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/464; https://github.com/mysteropodes/nemo/issues/464#issuecomment-5481499367; https://github.com/mysteropodes/nemo/commit/e155d8a4de25ff96c8542972eef83ff8239361b7
465,Pendant l’utilisation de la brush j’ai toujours les carré au début et à la fin d,CLOSED,retain_closed,CLOSED,P3,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/465; https://github.com/mysteropodes/nemo/issues/465#issuecomment-5481499768
466,le bouton son et camera doivent changer de place dans l’ui et se placé à coté du,CLOSED,retain_closed,CLOSED,P3,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/466; https://github.com/mysteropodes/nemo/issues/466#issuecomment-5481500226
467,l’aperçu visuelle des blend layer doivent se faire quand on parcours toute les o,CLOSED,retain_closed,CLOSED,P2,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/467; https://github.com/mysteropodes/nemo/issues/467#issuecomment-5481500517
468,on a encore la possibilité de modifier les keyframe dans la timeline quand celui,CLOSED,retain_closed,CLOSED,P1,Animation,Bug,R08; R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/468; https://github.com/mysteropodes/nemo/issues/468#issuecomment-5481500862
469,avec l’outil plume il faudrait voir les point de path et leur tangents,CLOSED,retain_closed,CLOSED,P3,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/469; https://github.com/mysteropodes/nemo/issues/469#issuecomment-5481501207
470,quand on clic sur une option qui ouvre le panneau de choix de couleurs il faudra,CLOSED,retain_closed,CLOSED,P3,UI,Feature,R13; R18,"Maintainer explicitly closed the delivered scope and deferred residual capability or reproduction pending a more specific need/report. No later contradictory evidence appears; preserve that decision. The owner states the palette-highlight portion works, but the requested per-palette checkbox behavior was never built and remains ambiguous. ",https://github.com/mysteropodes/nemo/issues/470; https://github.com/mysteropodes/nemo/issues/470#issuecomment-5481501609; https://github.com/mysteropodes/nemo/commit/032267e279ad9cc52fd74b30a9575fc702063693
471,"L’icon du panel gauche texte doit aller en dessous de celui du rond
l’icon persp",CLOSED,retain_closed,CLOSED,P3,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/471; https://github.com/mysteropodes/nemo/issues/471#issuecomment-5481501918
472,dans easing curve quand on select un point de la curve et que l’on fait option c,CLOSED,retain_closed,CLOSED,P2,Animation,Feature,R08; R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/472; https://github.com/mysteropodes/nemo/issues/472#issuecomment-5481502223
473,dans le panel droit on a plus besoin de onion skin il faut le mettre au clic dro,CLOSED,retain_closed,CLOSED,P2,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/473; https://github.com/mysteropodes/nemo/issues/473#issuecomment-5481502568
474,pour l’outil brush avec opt enfoncé on doit pouvoir changé la taille du stroke e,CLOSED,retain_closed,CLOSED,P2,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/474; https://github.com/mysteropodes/nemo/issues/474#issuecomment-5481502933
475,"le drag and drop de .wav, image ou vidéo ne marche pas dans l'app tauri",CLOSED,retain_closed,CLOSED,P1,Platform,Bug,R09; R21,"Already closed with a landed Tauri configuration change and no later contradictory report. Retain closed, while noting the captured comments do not establish a fresh packaged desktop drag-and-drop acceptance.",https://github.com/mysteropodes/nemo/issues/475; https://github.com/mysteropodes/nemo/issues/475#issuecomment-5481503433
476,le save file n’enregistre pas du tout les clés d’animation des effets. Attention,CLOSED,retain_closed,CLOSED,P0,Document,Bug,R09; R18; R20,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/476; https://github.com/mysteropodes/nemo/issues/476#issuecomment-5481503699
477,"le bouton de fermeture en haut à gauche de l’app, quand on fait quitter sans sau",OPEN,keep_validate,OPEN,P1,Platform,Bug,R09; R21,"Commit 7cb4139 is in current main, but the owner explicitly could not retest the native Tauri close-without-saving flow. Keep for packaged desktop validation; no runtime acceptance is inferred.",https://github.com/mysteropodes/nemo/issues/477; https://github.com/mysteropodes/nemo/issues/477#issuecomment-5481504091; https://github.com/mysteropodes/nemo/commit/7cb413983325fdafa8fb41988a8fa34891e9c5c8
478,[TEST diagnostic] token renouvelé — à fermer,CLOSED,retain_closed,CLOSED,P3,DevEx,Task,R01,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/478; https://github.com/mysteropodes/nemo/issues/478#issuecomment-5481504320
479,nouveau test,CLOSED,retain_closed,CLOSED,P3,DevEx,Task,R01,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/479; https://github.com/mysteropodes/nemo/issues/479#issuecomment-5481504683
480,quand on collapse ou expand le panel droit . le canvas scintille pendant l'anima,CLOSED,retain_closed,CLOSED,P1,Renderer,Bug,R16; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/480; https://github.com/mysteropodes/nemo/issues/480#issuecomment-5481505094; https://github.com/mysteropodes/nemo/commit/e40a7d6aed591820a5ec50d11ea31b64487461ad
481,l'effet ne s'applique pas au fill seulement au stroke de l'objet select,CLOSED,retain_closed,CLOSED,P1,Renderer,Bug,R16; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/481; https://github.com/mysteropodes/nemo/issues/481#issuecomment-5481505451; https://github.com/mysteropodes/nemo/commit/e40a7d6aed591820a5ec50d11ea31b64487461ad
482,pour la casser au intersection ce n'est pas vraiment ça qu'il faut faire le but ,CLOSED,retain_closed,CLOSED,P1,Renderer,Bug,R16; R17; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/482; https://github.com/mysteropodes/nemo/issues/482#issuecomment-5481505776; https://github.com/mysteropodes/nemo/commit/56de60dd41fd2af673853541186d6a19dc3ee0d3
483,quand j'envoi un feedback j'ai cette erreur dans la console du navigateur feedba,CLOSED,retain_closed,CLOSED,P2,Platform,Bug,R09; R21; R12,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/483; https://github.com/mysteropodes/nemo/issues/483#issuecomment-5481506167
484,ici gros soucis sur le panel droit quand on select un objet avec un stroke tous ,CLOSED,retain_closed,CLOSED,P2,UI,Bug,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/484; https://github.com/mysteropodes/nemo/issues/484#issuecomment-5481506654
485,"erreur dans la consol :
ui.js:310 Uncaught TypeError: Cannot read properties of ",CLOSED,retain_closed,CLOSED,P2,UI,Bug,R13; R18; R12,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/485; https://github.com/mysteropodes/nemo/issues/485#issuecomment-5481506872
486,"le motion à complétement disparu sur un componant que l'on anim dans motion, j'a",CLOSED,retain_closed,CLOSED,P0,Animation,Bug,R08; R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/486; https://github.com/mysteropodes/nemo/issues/486#issuecomment-5481507241
487,gros soucis sur les éléments de texte le panel typo fait bougé la typo en positi,CLOSED,retain_closed,CLOSED,P1,UI,Bug,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/487; https://github.com/mysteropodes/nemo/issues/487#issuecomment-5481507570
488,"l'outil pen devrait plus ressemblé à celui d'after effect ou illustrator, on voi",CLOSED,retain_closed,CLOSED,P2,UI,Feature,R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/488; https://github.com/mysteropodes/nemo/issues/488#issuecomment-5481508196
489,"manque de fluidité quand on deplace in/out point de calque, ici dans l'exemple r",CLOSED,retain_closed,CLOSED,P2,Animation,Bug,R08; R13; R18; R19,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/489; https://github.com/mysteropodes/nemo/issues/489#issuecomment-5481508641
490,"engine-bridge.js:2817 [engine-bridge] render failed, disabling ReferenceError: a",CLOSED,retain_closed,CLOSED,P0,Renderer,Bug,R16; R18; R12,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/490; https://github.com/mysteropodes/nemo/issues/490#issuecomment-5481509316
491,petit pblm en motion quand je pose des clé de position l'ensemble des clé bouges,CLOSED,retain_closed,CLOSED,P2,Animation,Bug,R08; R13; R18,"Already closed by the owner, with no later contradictory comment in the captured record. Retain the closed state; this triage does not independently claim reporter or runtime acceptance.",https://github.com/mysteropodes/nemo/issues/491; https://github.com/mysteropodes/nemo/issues/491#issuecomment-5481509607
