scope	name	sha	archive_ref	disposition	reason	pr_closure
local	claude/r03-curve-compat	8faadbe5b2ea0b420e2241f280fe81088a792f03	refs/archive/local/claude/r03-curve-compat	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	959
local	claude/r03-fixtures-bench	6d499212fdf447af439d66f5aadb905f6575110d	refs/archive/local/claude/r03-fixtures-bench	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	959,946
local	claude/r03-inventory	dd39e5215f000031c5f75821913cce2e6f971db9	refs/archive/local/claude/r03-inventory	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	944
local	cleanup-preserve/20260907/nemo-r03-records-validation-2584444-2584444d	2584444dfc3fc4bc4d36a1cf44cb55ee23ea3728	refs/archive/local/cleanup-preserve/20260907/nemo-r03-records-validation-2584444-2584444d	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	cleanup-preserve/20260907/r03-review-20260905-075cac5b	075cac5b3ebc1b7f5af1130c2ba68611c846f54c	refs/archive/local/cleanup-preserve/20260907/r03-review-20260905-075cac5b	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/40min-checkin-60-20260906	72a5c01472b25b5919187ddba8887cc473cdde12	refs/archive/local/codex/40min-checkin-60-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	982
local	codex/buzz-2d7f58561f03	421c26984e9396e65de74b3ba2f1123fa8b9d810	refs/archive/local/codex/buzz-2d7f58561f03	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/buzz-574b7ecde5e0	05b5784a98046444534bf9e28f6e69e5f74ce9a4	refs/archive/local/codex/buzz-574b7ecde5e0	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/buzz-9dc9d1cdb425	09c8096b87b468dd63938bc5750d9c59c3674007	refs/archive/local/codex/buzz-9dc9d1cdb425	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/buzz-c065dc96821e	8fc901493c8fe398b334c9975aea8a8dd28aeec3	refs/archive/local/codex/buzz-c065dc96821e	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
