scope	name	sha	disposition	archive_ref	reason
local	GHproject_and_issue_triage	197f5bd276557745b02042e414c96abddd69acfe	candidate	refs/archive/local/GHproject_and_issue_triage	exact tip and full reachable history already contained in audited origin/main
local	claude/r03-curve-compat	8faadbe5b2ea0b420e2241f280fe81088a792f03	retain		open PR head or base: #959
local	claude/r03-fixtures-bench	6d499212fdf447af439d66f5aadb905f6575110d	retain		open PR head or base: #959,#946
local	claude/r03-inventory	dd39e5215f000031c5f75821913cce2e6f971db9	retain		open PR head or base: #944
local	claude/r03-r08-combined-candidate	a2a8b6433cf0aebcae0d8f2395a99a9c8105784a	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	claude/r04-ffmpeg-sidecar-rebuild	7bd1f88c9816873cbb2f1a4996a135d40fdc636a	candidate	refs/archive/local/claude/r04-ffmpeg-sidecar-rebuild	tip is the merged PR head, its ancestor, or has an identical complete Git tree; recorded merge commit is contained in audited origin/main
local	claude/r06-dead-slot-reconcile	797e64b0b30eea8e136435749334574f15a5a339	retain		open PR head or base: #958
local	claude/r06-native-state-isolation	dafbc5ff6221ff665ddfd66b31f0c5b74c95d92e	retain		open PR head or base: #953
local	claude/r09-gap-map-evidence-correction	6bf3bebbbc6e2153af627914dd88a40919726abd	candidate	refs/archive/local/claude/r09-gap-map-evidence-correction	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/buzz-e9f6c805b978-aacc6adf	aacc6adf69f5250e83e0ee8b491ecb06f4da37a1	candidate	refs/archive/local/cleanup-preserve/20260907/buzz-e9f6c805b978-aacc6adf	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/check31-combined-acceptance-20260906-e5c8a8cc	e5c8a8ccbc93f533d80f0282d43828b2b4ef2348	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/check34-rust-acceptance-20260906-d6cf353b	d6cf353b4ff81f0b49940dcff581cdbe6e52a7c4	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/check37-node-acceptance-20260906-a3ec71dd	a3ec71dd8a6a931a262f8f518ded157f4e7509e5	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/check48-repository-acceptance-20260906-b646bf42	b646bf42ee18a6b899a51fe3113a1659b28399b9	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/check49-coverage-handoff-20260906-01705aff	01705aff57581428f0e1ab22aa1cac070c224f91	candidate	refs/archive/local/cleanup-preserve/20260907/check49-coverage-handoff-20260906-01705aff	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/nemo-ffmpeg-ci.GDY3TI-bf2020c7	bf2020c76a0e1abba6da7ba0bae99dcb0b408954	candidate	refs/archive/local/cleanup-preserve/20260907/nemo-ffmpeg-ci.GDY3TI-bf2020c7	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/nemo-r03-records-validation-2584444-2584444d	2584444dfc3fc4bc4d36a1cf44cb55ee23ea3728	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/nemo-r05-acceptance-20260906-6ca24e4b	6ca24e4bd7060c2806519358da6c4754b3f7e640	candidate	refs/archive/local/cleanup-preserve/20260907/nemo-r05-acceptance-20260906-6ca24e4b	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/nemo-r05-check47.h4uGMs-01705aff	01705aff57581428f0e1ab22aa1cac070c224f91	candidate	refs/archive/local/cleanup-preserve/20260907/nemo-r05-check47.h4uGMs-01705aff	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/nemo-r06-native-validation-20260906-10c930a2	10c930a29a7ee3c3339a52f1ddee12ce1c9afcb9	candidate	refs/archive/local/cleanup-preserve/20260907/nemo-r06-native-validation-20260906-10c930a2	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/pr970-review-20260906-41081aa3	41081aa3383f2cc8c76c7805f531f43057f33534	candidate	refs/archive/local/cleanup-preserve/20260907/pr970-review-20260906-41081aa3	exact tip and full reachable history already contained in audited origin/main
local	cleanup-preserve/20260907/r03-review-20260905-075cac5b	075cac5b3ebc1b7f5af1130c2ba68611c846f54c	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/review-r03-50efa62f-0e6cd80f	0e6cd80f6e3a4020636bdb75f95598ff6ae47697	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	cleanup-preserve/20260907/review-r03-c493157a-c493157a	c493157a982775bc9c91d64745799c89bc495271	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/40min-checkin-15-20260906	bcdc331e439711f4c7618c80d6c964e8337a7ce2	candidate	refs/archive/local/codex/40min-checkin-15-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-20-20260906	f6ecab576ce7eacbd53079bd9746ec6514b7d316	candidate	refs/archive/local/codex/40min-checkin-20-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-25-20260906	781ee77c948bc0e4cf76eb9019051388942f5b61	candidate	refs/archive/local/codex/40min-checkin-25-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-30-20260906	0bda6ffecebd287e432d6a7e2247174334d30ebd	candidate	refs/archive/local/codex/40min-checkin-30-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-35-20260906	b40b7376df3c98114ff25d1802f717d9b589d037	candidate	refs/archive/local/codex/40min-checkin-35-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-40-20260906	9bc854107ff3dfc377ec502325fe646049a2152a	candidate	refs/archive/local/codex/40min-checkin-40-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-45-20260906	1851a2e7ce9f0b357c2d515805a72bc10332be12	candidate	refs/archive/local/codex/40min-checkin-45-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-50-20260906	a4f3f84c00f664310fd6aba01e745beb6212d68d	candidate	refs/archive/local/codex/40min-checkin-50-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-55-20260906	d61fd5f28ff159eb638368dd47d4c4ae292e0cf9	candidate	refs/archive/local/codex/40min-checkin-55-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/40min-checkin-60-20260906	72a5c01472b25b5919187ddba8887cc473cdde12	retain		open PR head or base: #982
local	codex/40min-checkins-20260905	fadd953ba1012e2f5c381f65b273eef9e120df24	candidate	refs/archive/local/codex/40min-checkins-20260905	exact tip and full reachable history already contained in audited origin/main
local	codex/a2a-live-requester	7481870fe0a77b2ed0a790fa1e492944c9aa570d	candidate	refs/archive/local/codex/a2a-live-requester	exact tip and full reachable history already contained in audited origin/main
