id,kind,area,surface,capability,handler,events,exposure,sdk,mcp,consumers,fixtures,platforms,status,nextGate,source,reason
"dom:#app-check-update","dom","project-lifecycle-integrations","settings-modal > button#app-check-update","Check for updates","src/js/updater-bridge.js:245 init()","click","UI (modal)","none","none (R14)","native@2","media | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1798",""
"dom:#app-menu-btn","dom","drawing-selection","app-topbar > button#app-menu-btn","Menu","src/js/timeline.js:9145 initAppMenu()","click","UI","none","none (R14)","export@1 render@2 persist@2 native@2","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:129",""
"dom:#assets-tab-media","dom","media-import-export","assets-sec > button#assets-tab-media","Media","src/js/assets-panel.js:24","click","UI","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1247",""
"dom:#assets-tab-presets","dom","media-import-export","assets-sec > button#assets-tab-presets","Presets","src/js/assets-panel.js:24","click","UI","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1248",""
"dom:#audio-file-input","dom","media-import-export","layer-ctrls > input[file]#audio-file-input","audio file input","src/js/audio-bridge.js:631 init()","change","UI","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2216",""
"dom:#btn-al","dom","timeline-layers-frames","layer-ctrls > button#btn-al","New layer","src/js/timeline.js:11423","click","UI","none","none (R14)","render@2 persist@2 history@2 animation@2 selection@3 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2210",""
"dom:#btn-alphabg","dom","timeline-layers-frames","canvas-sec > button#btn-alphabg","Show transparency — preview the canvas background as alpha (checkerboard) instead of its solid color, while editing","src/js/timeline.js:10852","click","UI","none","none (R14)","render@1 animation@3 native@3 selection@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:825",""
"dom:#btn-audio","dom","media-import-export","layer-ctrls > button#btn-audio","Import an audio track (mp3/ogg/wav) — waveform under the timeline, synced playback","src/js/audio-bridge.js:630 init()","click","UI","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2215",""
"dom:#btn-bake-cache","dom","timeline-layers-frames","tl-toolbar > button#btn-bake-cache","Forcer le cache de lecture (normalement automatique si la lecture décroche)","src/js/timeline.js:11157","click","UI","none","none (R14)","render@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2148",""
"dom:#btn-bool-exclude","dom","animation-rigs-expressions","sp-boolean-row > button#btn-bool-exclude","Exclude — keep everything except the overlap (Alt+click: non-destructive combine)","src/js/timeline.js:10774 wireBoolBtn()","click","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:482",""
"dom:#btn-bool-intersect","dom","animation-rigs-expressions","sp-boolean-row > button#btn-bool-intersect","Intersect — keep only the overlapping area (Alt+click: non-destructive combine)","src/js/timeline.js:10774 wireBoolBtn()","click","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:481",""
"dom:#btn-bool-subtract","dom","animation-rigs-expressions","sp-boolean-row > button#btn-bool-subtract","Subtract — cut later shapes out of the first (Alt+click: non-destructive combine)","src/js/timeline.js:10774 wireBoolBtn()","click","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:480",""
"dom:#btn-bool-unite","dom","animation-rigs-expressions","sp-boolean-row > button#btn-bool-unite","Union — merge shapes into one (Alt+click: non-destructive combine)","src/js/timeline.js:10774 wireBoolBtn()","click","UI (contextual)","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:479",""
"dom:#btn-bpm","dom","animation-rigs-expressions","tl-toolbar > button#btn-bpm","Grille BPM — clic : afficher/masquer · clic droit : régler le tempo","src/js/bpm-grid.js:93 init() | src/js/bpm-grid.js:94 init()","click | contextmenu","UI","none","none (R14)","","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2180",""
"dom:#btn-cam-addkey","dom","animation-rigs-expressions","camera-sec > button#btn-cam-addkey","Add a key","src/js/camera.js:639 initUI()","click","UI (contextual)","none","none (R14)","history@1 render@1 animation@2 persist@3 native@3 selection@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:660",""
"dom:#btn-cam-ease-edit","dom","animation-rigs-expressions","camera-sec > button#btn-cam-ease-edit","Edit easing curve…","src/js/camera.js:648 initUI()","click","UI (contextual)","none","none (R14)","animation@1 render@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:664",""
"dom:#btn-camera","dom","animation-rigs-expressions","layer-ctrls > button#btn-camera","Camera layer — framing keys (zoom/pan) interpolated with Bézier curves","src/js/camera.js:619 initUI()","click","UI","none","none (R14)","history@1 animation@1 render@1 persist@3 selection@3 native@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2214",""
"dom:#btn-clip","dom","timeline-layers-frames","canvas-sec > button#btn-clip","Hide artwork outside the canvas bounds — off by default, so you can see and work with content that spills over the edge","src/js/timeline.js:10832","click","UI","none","none (R14)","render@2","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:822",""
"dom:#btn-combine-exclude","dom","animation-rigs-expressions","combine-mode-row > button#btn-combine-exclude","Exclude — keep everything except the overlap (Alt+click: non-destructive combine)","src/js/timeline.js:11651","click","UI (contextual)","none","none (R14)","selection@2 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:857",""
